0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NAME,DP03_0018E,DP03_0018PE,DP03_0019E,DP03_0019PE,DP03_0020E,DP03_0020PE,DP03_0021E,DP03_0021PE,DP03_0022E,DP03_0022PE,DP03_0023E,DP03_0023PE,DP03_0024E,DP03_0024PE,DP03_0025E,DP03_0025PE,state,county
"Alameda County, California",817140,817140,461049,56.4,70987,8.7,99873,12.2,25916,3.2,25622,3.1,133693,16.4,33.4,-888888888,06,001
"Alpine County, California",514,514,297,57.8,43,8.4,5,1.0,16,3.1,13,2.5,140,27.2,31.9,-888888888,06,003
"Amador County, California",14830,14830,11426,77.0,1198,8.1,28,0.2,302,2.0,179,1.2,1697,11.4,31.5,-888888888,06,005
"Butte County, California",93043,93043,68682,73.8,9429,10.1,668,0.7,2963,3.2,2824,3.0,8477,9.1,21.4,-888888888,06,007
"Calaveras County, California",16387,16387,12145,74.1,1826,11.1,67,0.4,288,1.8,139,0.8,1922,11.7,38.0,-888888888,06,009
"Colusa County, California",9320,9320,7513,80.6,978,10.5,31,0.3,178,1.9,137,1.5,483,5.2,23.4,-888888888,06,011
"Contra Costa County, California",553536,553536,351478,63.5,55769,10.1,48980,8.8,8310,1.5,9832,1.8,79167,14.3,37.8,-888888888,06,013
"Del Norte County, California",8939,8939,6749,75.5,1215,13.6,48,0.5,358,4.0,82,0.9,487,5.4,16.8,-888888888,06,015
"El Dorado County, California",85493,85493,62157,72.7,7009,8.2,803,0.9,1300,1.5,1326,1.6,12898,15.1,28.5,-888888888,06,017
"Fresno County, California",403192,403192,312537,77.5,46427,11.5,3800,0.9,5940,1.5,6895,1.7,27593,6.8,23.3,-888888888,06,019
"Glenn County, California",11856,11856,9075,76.5,1403,11.8,10,0.1,341,2.9,181,1.5,846,7.1,22.2,-888888888,06,021
"Humboldt County, California",57701,57701,39666,68.7,6182,10.7,773,1.3,3391,5.9,1389,2.4,6300,10.9,19.2,-888888888,06,023
"Imperial County, California",57287,57287,45553,79.5,4901,8.6,463,0.8,1642,2.9,1207,2.1,3521,6.1,22.0,-888888888,06,025
"Inyo County, California",8159,8159,5656,69.3,972,11.9,25,0.3,480,5.9,462,5.7,564,6.9,15.5,-888888888,06,027
"Kern County, California",346503,346503,276101,79.7,41611,12.0,1960,0.6,3239,0.9,4735,1.4,18857,5.4,23.7,-888888888,06,029
"Kings County, California",55733,55733,43432,77.9,7640,13.7,215,0.4,793,1.4,818,1.5,2835,5.1,23.4,-888888888,06,031
