0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
NAME,DP02_0059E,DP02_0059PE,DP02_0060E,DP02_0060PE,DP02_0061E,DP02_0061PE,DP02_0062E,DP02_0062PE,DP02_0063E,DP02_0063PE,DP02_0064E,DP02_0064PE,DP02_0065E,DP02_0065PE,DP02_0066E,DP02_0066PE,DP02_0067E,DP02_0067PE,DP02_0068E,DP02_0068PE,state,county
"Alameda County, California",1193863,1193863,68311,5.7,62961,5.3,198825,16.7,194409,16.3,76687,6.4,337847,28.3,254823,21.3,1062591,89.0,592670,49.6,06,001
"Alpine County, California",969,969,34,3.5,27,2.8,249,25.7,235,24.3,43,4.4,200,20.6,181,18.7,908,93.7,381,39.3,06,003
"Amador County, California",31725,31725,764,2.4,1993,6.3,9724,30.7,8752,27.6,4300,13.6,4317,13.6,1875,5.9,28968,91.3,6192,19.5,06,005
"Butte County, California",142167,142167,4840,3.4,8894,6.3,31704,22.3,39391,27.7,15029,10.6,27819,19.6,14490,10.2,128433,90.3,42309,29.8,06,007
"Calaveras County, California",34951,34951,799,2.3,2415,6.9,10815,30.9,10250,29.3,3713,10.6,4876,14.0,2083,6.0,31737,90.8,6959,19.9,06,009
"Colusa County, California",13942,13942,2348,16.8,1371,9.8,4246,30.5,2594,18.6,1340,9.6,1558,11.2,485,3.5,10223,73.3,2043,14.7,06,011
"Contra Costa County, California",805020,805020,42474,5.3,40090,5.0,140633,17.5,160404,19.9,66758,8.3,218293,27.1,136368,16.9,722456,89.7,354661,44.1,06,013
"Del Norte County, California",19703,19703,999,5.1,2826,14.3,6101,31.0,4942,25.1,1659,8.4,2070,10.5,1106,5.6,15878,80.6,3176,16.1,06,015
"El Dorado County, California",139444,139444,2557,1.8,4864,3.5,28993,20.8,35646,25.6,16021,11.5,34494,24.7,16869,12.1,132023,94.7,51363,36.8,06,017
"Fresno County, California",619376,619376,76606,12.4,60229,9.7,140532,22.7,145859,23.5,55967,9.0,93209,15.0,46974,7.6,482541,77.9,140183,22.6,06,019
"Glenn County, California",18294,18294,2613,14.3,1690,9.2,5538,30.3,4221,23.1,1507,8.2,2226,12.2,499,2.7,13991,76.5,2725,14.9,06,021
"Humboldt County, California",93815,93815,2529,2.7,5922,6.3,21654,23.1,24929,26.6,9518,10.1,19376,20.7,9887,10.5,85364,91.0,29263,31.2,06,023
"Imperial County, California",110267,110267,16255,14.7,16340,14.8,28187,25.6,25791,23.4,6936,6.3,12239,11.1,4519,4.1,77672,70.4,16758,15.2,06,025
"Inyo County, California",13746,13746,433,3.2,655,4.8,4188,30.5,3471,25.3,1250,9.1,2217,16.1,1532,11.1,12658,92.1,3749,27.3,06,027
"Kern County, California",552243,552243,71745,13.0,61081,11.1,152266,27.6,126244,22.9,43671,7.9,63839,11.6,33397,6.0,419417,75.9,97236,17.6,06,029
"Kings County, California",94259,94259,13052,13.8,11804,12.5,24622,26.1,22753,24.1,8530,9.0,9159,9.7,4339,4.6,69403,73.6,13498,14.3,06,031
"Lake County, California",48848,48848,2515,5.1,4033,8.3,14601,29.9,13272,27.2,5870,12.0,5747,11.8,2810,5.8,42300,86.6,8557,17.5,06,033
"Lassen County, California",24323,24323,1317,5.4,3536,14.5,7891,32.4,6566,27.0,2150,8.8,2098,8.6,765,3.1,19470,80.0,2863,11.8,06,035
"Los Angeles County, California",6922061,6922061,813149,11.7,568298,8.2,1411475,20.4,1285626,18.6,486941,7.0,1530075,22.1,826497,11.9,5540614,80.0,2356572,34.0,06,037
"Madera County, California",98573,98573,16258,16.5,11531,11.7,22929,23.3,24341,24.7,7370,7.5,11366,11.5,4778,4.8,70784,71.8,16144,16.4,06,039
"Marin County, California",192700,192700,7844,4.1,4828,2.5,19589,10.2,31731,16.5,12801,6.6,65270,33.9,50637,26.3,180028,93.4,115907,60.1,06,041
"Mariposa County, California",13513,13513,460,3.4,773,5.7,3028,22.4,3939,29.1,1412,10.4,2624,19.4,1277,9.5,12280,90.9,3901,28.9,06,043
"Mendocino County, California",65151,65151,4196,6.4,4508,6.9,17147,26.3,17770,27.3,5568,8.5,9612,14.8,6350,9.7,56447,86.6,15962,24.5,06,045
"Merced County, California",165461,165461,28922,17.5,20132,12.2,43880,26.5,36243,21.9,13025,7.9,15979,9.7,7280,4.4,116407,70.4,23259,14.1,06,047
"Modoc County, California",6564,6564,464,7.1,491,7.5,2136,32.5,1607,24.5,573,8.7,864,13.2,429,6.5,5609,85.5,1293,19.7,06,049
"Mono County, California",9497,9497,593,6.2,621,6.5,2124,22.4,2375,25.0,980,10.3,1833,19.3,971,10.2,8283,87.2,2804,29.5,06,051
"Monterey County, California",280524,280524,50976,18.2,24795,8.8,56912,20.3,50847,18.1,22683,8.1,44514,15.9,29797,10.6,204753,73.0,74311,26.5,06,053
"Napa County, California",98545,98545,9017,9.2,5524,5.6,17698,18.0,20920,21.2,8922,9.1,24141,24.5,12323,12.5,84004,85.2,36464,37.0,06,055
"Nevada County, California",78580,78580,1309,1.7,2518,3.2,14963,19.0,21288,27.1,8111,10.3,19385,24.7,11006,14.0,74753,95.1,30391,38.7,06,057
"Orange County, California",2197190,2197190,159612,7.3,134568,6.1,378888,17.2,428349,19.5,170409,7.8,585008,26.6,340356,15.5,1903010,86.6,925364,42.1,06,059
"Placer County, California",281849,281849,5588,2.0,8996,3.2,49539,17.6,69403,24.6,31072,11.0,76411,27.1,40840,14.5,267265,94.8,117251,41.6,06,061
"Plumas County, California",15047,15047,205,1.4,615,4.1,4108,27.3,5008,33.3,1647,10.9,2233,14.8,1231,8.2,14227,94.6,3464,23.0,06,063
"Riverside County, California",1572798,1572798,142125,9.0,125400,8.0,423504,26.9,378894,24.1,132743,8.4,238066,15.1,132066,8.4,1305273,83.0,370132,23.5,06,065
"Sacramento County, California",1067929,1067929,66453,6.2,61002,5.7,235075,22.0,259949,24.3,103745,9.7,221577,20.7,120128,11.2,940474,88.1,341705,32.0,06,067
"San Benito County, California",41203,41203,4329,10.5,2572,6.2,11037,26.8,10594,25.7,4211,10.2,6305,15.3,2155,5.2,34302,83.3,8460,20.5,06,069
"San Bernardino County, California",1377666,1377666,113848,8.3,146467,10.6,370115,26.9,327584,23.8,117761,8.5,197308,14.3,104583,7.6,1117351,81.1,301891,21.9,06,071
"San Diego County, California",2251321,2251321,140183,6.2,122880,5.5,409660,18.2,483335,21.5,188808,8.4,552537,24.5,353918,15.7,1988258,88.3,906455,40.3,06,073
"San Francisco County, California",688969,688969,46904,6.8,30396,4.4,78359,11.4,87355,12.7,35903,5.2,243795,35.4,166257,24.1,611669,88.8,410052,59.5,06,075
"San Joaquin County, California",488393,488393,53581,11.0,42635,8.7,140468,28.8,110472,22.6,46154,9.5,64170,13.1,30913,6.3,392177,80.3,95083,19.5,06,077
"San Luis Obispo County, California",190323,190323,6410,3.4,8944,4.7,37215,19.6,48533,25.5,19301,10.1,43001,22.6,26919,14.1,174969,91.9,69920,36.7,06,079
"San Mateo County, California",551707,551707,28749,5.2,21903,4.0,82159,14.9,90968,16.5,38527,7.0,162209,29.4,127192,23.1,501055,90.8,289401,52.5,06,081
"Santa Barbara County, California",277880,277880,32126,11.6,18148,6.5,47957,17.3,58882,21.2,23131,8.3,58791,21.2,38845,14.0,227606,81.9,97636,35.1,06,083
"Santa Clara County, California",1349372,1349372,84521,6.3,61383,4.5,184860,13.7,193313,14.3,91345,6.8,375482,27.8,358468,26.6,1203468,89.2,733950,54.4,06,085
"Santa Cruz County, California",179985,179985,14098,7.8,7004,3.9,28627,15.9,39428,21.9,15430,8.6,43339,24.1,32059,17.8,158883,88.3,75398,41.9,06,087
"Shasta County, California",128609,128609,3096,2.4,8396,6.5,33218,25.8,39786,30.9,15072,11.7,19506,15.2,9535,7.4,117117,91.1,29041,22.6,06,089
"Sierra County, California",2307,2307,43,1.9,87,3.8,681,29.5,755,32.7,226,9.8,259,11.2,256,11.1,2177,94.4,515,22.3,06,091
"Siskiyou County, California",32223,32223,1224,3.8,2026,6.3,8724,27.1,9387,29.1,3929,12.2,4595,14.3,2338,7.3,28973,89.9,6933,21.5,06,093
"Solano County, California",312459,312459,17302,5.5,17535,5.6,74274,23.8,83824,26.8,32543,10.4,58967,18.9,28014,9.0,277622,88.9,86981,27.8,06,095
"Sonoma County, California",356445,356445,20831,5.8,17788,5.0,65278,18.3,86331,24.2,33872,9.5,82579,23.2,49766,14.0,317826,89.2,132345,37.1,06,097
"Stanislaus County, California",348982,348982,37681,10.8,32279,9.2,104577,30.0,85846,24.6,26010,7.5,42993,12.3,19596,5.6,279022,80.0,62589,17.9,06,099
"Sutter County, California",64872,64872,6899,10.6,6303,9.7,15907,24.5,16083,24.8,6709,10.3,8650,13.3,4321,6.7,51670,79.6,12971,20.0,06,101
"Tehama County, California",44894,44894,2891,6.4,3498,7.8,13014,29.0,13056,29.1,4808,10.7,5587,12.4,2040,4.5,38505,85.8,7627,17.0,06,103
"Trinity County, California",12493,12493,215,1.7,549,4.4,4800,38.4,3756,30.1,849,6.8,1443,11.6,881,7.1,11729,93.9,2324,18.6,06,105
"Tulare County, California",278465,278465,47440,17.0,28809,10.3,73748,26.5,61604,22.1,24532,8.8,28347,10.2,13985,5.0,202216,72.6,42332,15.2,06,107
"Tuolumne County, California",42285,42285,710,1.7,2634,6.2,10658,25.2,13229,31.3,4658,11.0,6817,16.1,3579,8.5,38941,92.1,10396,24.6,06,109
"Ventura County, California",574785,574785,49030,8.5,33595,5.8,113615,19.8,124158,21.6,58776,10.2,124047,21.6,71564,12.5,492160,85.6,195611,34.0,06,111
"Yolo County, California",127688,127688,8648,6.8,7184,5.6,22654,17.7,25117,19.7,9086,7.1,28159,22.1,26840,21.0,111856,87.6,54999,43.1,06,113
"Yuba County, California",50807,50807,4243,8.4,5325,10.5,11785,23.2,15163,29.8,5273,10.4,5955,11.7,3063,6.0,41239,81.2,9018,17.7,06,115
