0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
NAME,DP04_0062E,DP04_0062PE,DP04_0063E,DP04_0063PE,DP04_0064E,DP04_0064PE,DP04_0065E,DP04_0065PE,DP04_0066E,DP04_0066PE,DP04_0067E,DP04_0067PE,DP04_0068E,DP04_0068PE,DP04_0069E,DP04_0069PE,DP04_0070E,DP04_0070PE,DP04_0071E,DP04_0071PE,state,county
"Alameda County, California",581683,581683,398522,68.5,9712,1.7,155189,26.7,356,0.1,143,0.0,1510,0.3,3069,0.5,1037,0.2,12145,2.1,06,001
"Alpine County, California",434,434,6,1.4,161,37.1,51,11.8,11,2.5,0,0.0,148,34.1,22,5.1,35,8.1,0,0.0,06,003
"Amador County, California",15394,15394,4218,27.4,4442,28.9,3562,23.1,53,0.3,11,0.1,2620,17.0,207,1.3,242,1.6,39,0.3,06,005
"Butte County, California",85292,85292,40652,47.7,8863,10.4,26516,31.1,131,0.2,21,0.0,6984,8.2,1098,1.3,480,0.6,547,0.6,06,007
"Calaveras County, California",16809,16809,3433,20.4,6560,39.0,2924,17.4,213,1.3,0,0.0,3133,18.6,248,1.5,286,1.7,12,0.1,06,009
"Colusa County, California",7303,7303,3582,49.0,493,6.8,2404,32.9,53,0.7,0,0.0,331,4.5,179,2.5,254,3.5,7,0.1,06,011
"Contra Costa County, California",405106,405106,273689,67.6,6736,1.7,109781,27.1,304,0.1,173,0.0,2193,0.5,6319,1.6,779,0.2,5132,1.3,06,013
"Del Norte County, California",9531,9531,475,5.0,276,2.9,5514,57.9,1272,13.3,0,0.0,1785,18.7,44,0.5,35,0.4,130,1.4,06,015
"El Dorado County, California",74535,74535,25314,34.0,22176,29.8,15244,20.5,580,0.8,0,0.0,8810,11.8,912,1.2,1212,1.6,287,0.4,06,017
"Fresno County, California",314421,314421,172923,55.0,15284,4.9,110306,35.1,715,0.2,0,0.0,3719,1.2,6719,2.1,2066,0.7,2689,0.9,06,019
"Glenn County, California",9753,9753,3495,35.8,1073,11.0,3462,35.5,13,0.1,9,0.1,1273,13.1,189,1.9,146,1.5,93,1.0,06,021
"Humboldt County, California",53729,53729,29452,54.8,4321,8.0,9159,17.0,459,0.9,0,0.0,9181,17.1,286,0.5,313,0.6,558,1.0,06,023
"Imperial County, California",45541,45541,17315,38.0,941,2.1,24952,54.8,13,0.0,0,0.0,118,0.3,62,0.1,87,0.2,2053,4.5,06,025
"Inyo County, California",7832,7832,1028,13.1,1626,20.8,1558,19.9,629,8.0,2,0.0,2396,30.6,35,0.4,481,6.1,77,1.0,06,027
"Kern County, California",274705,274705,167582,61.0,9014,3.3,83062,30.2,354,0.1,36,0.0,4008,1.5,3710,1.4,2779,1.0,4160,1.5,06,029
"Kings County, California",43286,43286,30477,70.4,1755,4.1,9464,21.9,42,0.1,0,0.0,267,0.6,647,1.5,193,0.4,441,1.0,06,031
"Lake County, California",26307,26307,1570,6.0,7149,27.2,9981,37.9,2653,10.1,13,0.0,4013,15.3,272,1.0,513,2.0,143,0.5,06,033
"Lassen County, California",8910,8910,1551,17.4,1067,12.0,1361,15.3,1358,15.2,0,0.0,3377,37.9,13,0.1,155,1.7,28,0.3,06,035
"Los Angeles County, California",3342811,3342811,2162696,64.7,52500,1.6,906990,27.1,2884,0.1,429,0.0,6663,0.2,13107,0.4,5231,0.2,192311,5.8,06,037
"Madera County, California",43578,43578,13432,30.8,9199,21.1,14413,33.1,166,0.4,0,0.0,4229,9.7,753,1.7,956,2.2,430,1.0,06,039
"Marin County, California",103751,103751,70867,68.3,4442,4.3,25367,24.4,95,0.1,0,0.0,1264,1.2,625,0.6,158,0.2,933,0.9,06,041
"Mariposa County, California",7588,7588,284,3.7,2863,37.7,1322,17.4,104,1.4,0,0.0,2653,35.0,68,0.9,266,3.5,28,0.4,06,043
"Mendocino County, California",34183,34183,10456,30.6,7346,21.5,6373,18.6,1561,4.6,16,0.0,7799,22.8,280,0.8,218,0.6,134,0.4,06,045
"Merced County, California",81618,81618,42320,51.9,2736,3.4,32573,39.9,54,0.1,20,0.0,1114,1.4,985,1.2,1286,1.6,530,0.6,06,047
"Modoc County, California",3413,3413,144,4.2,281,8.2,690,20.2,615,18.0,0,0.0,1626,47.6,0,0.0,57,1.7,0,0.0,06,049
"Mono County, California",5361,5361,1033,19.3,966,18.0,916,17.1,205,3.8,0,0.0,1903,35.5,2,0.0,288,5.4,48,0.9,06,051
"Monterey County, California",129977,129977,61712,47.5,5812,4.5,55757,42.9,131,0.1,8,0.0,2432,1.9,1056,0.8,281,0.2,2788,2.1,06,053
"Napa County, California",48745,48745,31616,64.9,1818,3.7,13172,27.0,86,0.2,0,0.0,1081,2.2,438,0.9,157,0.3,377,0.8,06,055
"Nevada County, California",40877,40877,14196,34.7,14454,35.4,6079,14.9,327,0.8,0,0.0,4763,11.7,366,0.9,557,1.4,135,0.3,06,057
"Orange County, California",1057592,1057592,730193,69.0,16032,1.5,264358,25.0,545,0.1,122,0.0,1446,0.1,6345,0.6,767,0.1,37784,3.6,06,059
"Placer County, California",149714,149714,93522,62.5,12548,8.4,35475,23.7,240,0.2,0,0.0,4839,3.2,1704,1.1,842,0.6,544,0.4,06,061
"Plumas County, California",8231,8231,562,6.8,1712,20.8,960,11.7,1482,18.0,12,0.1,3275,39.8,36,0.4,161,2.0,31,0.4,06,063
"Riverside County, California",740506,740506,516719,69.8,22723,3.1,175423,23.7,318,0.0,49,0.0,3575,0.5,8215,1.1,1721,0.2,11763,1.6,06,065
"Sacramento County, California",559036,559036,332889,59.5,12368,2.2,202419,36.2,414,0.1,208,0.0,2491,0.4,2809,0.5,762,0.1,4676,0.8,06,067
"San Benito County, California",19144,19144,11964,62.5,1742,9.1,3906,20.4,17,0.1,0,0.0,852,4.5,495,2.6,46,0.2,122,0.6,06,069
"San Bernardino County, California",651743,651743,472170,72.4,20428,3.1,131013,20.1,708,0.1,33,0.0,9564,1.5,4775,0.7,1937,0.3,11115,1.7,06,071
"San Diego County, California",1139899,1139899,647722,56.8,40470,3.6,372026,32.6,1141,0.1,71,0.0,7925,0.7,17463,1.5,2879,0.3,50202,4.4,06,073
"San Francisco County, California",361222,361222,211763,58.6,6032,1.7,117393,32.5,365,0.1,110,0.0,258,0.1,1182,0.3,3198,0.9,20921,5.8,06,075
"San Joaquin County, California",234662,234662,155541,66.3,8627,3.7,61778,26.3,262,0.1,24,0.0,2275,1.0,3261,1.4,610,0.3,2284,1.0,06,077
"San Luis Obispo County, California",106790,106790,71440,66.9,8493,8.0,20478,19.2,10,0.0,22,0.0,2759,2.6,1173,1.1,844,0.8,1571,1.5,06,079
"San Mateo County, California",264892,264892,173067,65.3,4909,1.9,79257,29.9,500,0.2,19,0.0,661,0.2,1088,0.4,442,0.2,4949,1.9,06,081
"Santa Barbara County, California",147446,147446,105565,71.6,3997,2.7,29878,20.3,106,0.1,16,0.0,701,0.5,811,0.6,162,0.1,6210,4.2,06,083
"Santa Clara County, California",646847,646847,397370,61.4,12322,1.9,218998,33.9,616,0.1,32,0.0,2013,0.3,5321,0.8,858,0.1,9317,1.4,06,085
"Santa Cruz County, California",96476,96476,57003,59.1,9202,9.5,21995,22.8,140,0.1,25,0.0,3843,4.0,937,1.0,517,0.5,2814,2.9,06,087
"Shasta County, California",71314,71314,29301,41.1,6667,9.3,22818,32.0,1744,2.4,9,0.0,9349,13.1,510,0.7,549,0.8,367,0.5,06,089
"Sierra County, California",1151,1151,78,6.8,277,24.1,103,8.9,199,17.3,0,0.0,387,33.6,0,0.0,77,6.7,30,2.6,06,091
"Siskiyou County, California",18598,18598,670,3.6,1186,6.4,5405,29.1,4521,24.3,0,0.0,6415,34.5,115,0.6,173,0.9,113,0.6,06,093
"Solano County, California",153632,153632,102397,66.7,4408,2.9,40872,26.6,99,0.1,37,0.0,1171,0.8,2928,1.9,364,0.2,1356,0.9,06,095
"Sonoma County, California",188841,188841,123341,65.3,11161,5.9,43476,23.0,204,0.1,0,0.0,6580,3.5,1711,0.9,885,0.5,1483,0.8,06,097
"Stanislaus County, California",175067,175067,122832,70.2,5231,3.0,42173,24.1,38,0.0,0,0.0,1819,1.0,1405,0.8,487,0.3,1082,0.6,06,099
"Sutter County, California",32703,32703,20491,62.7,1130,3.5,8835,27.0,133,0.4,0,0.0,975,3.0,665,2.0,166,0.5,308,0.9,06,101
"Tehama County, California",24551,24551,6838,27.9,4688,19.1,7065,28.8,478,1.9,0,0.0,4750,19.3,285,1.2,250,1.0,197,0.8,06,103
"Trinity County, California",5492,5492,305,5.6,586,10.7,1638,29.8,533,9.7,0,0.0,2388,43.5,5,0.1,17,0.3,20,0.4,06,105
"Tulare County, California",139631,139631,95197,68.2,9921,7.1,28764,20.6,206,0.1,13,0.0,2102,1.5,1018,0.7,961,0.7,1449,1.0,06,107
"Tuolumne County, California",23103,23103,1846,8.0,9510,41.2,5090,22.0,277,1.2,0,0.0,5313,23.0,303,1.3,644,2.8,120,0.5,06,109
"Ventura County, California",274471,274471,207322,75.5,3774,1.4,46844,17.1,207,0.1,63,0.0,1264,0.5,1499,0.5,262,0.1,13236,4.8,06,111
"Yolo County, California",75471,75471,46168,61.2,2347,3.1,23198,30.7,95,0.1,54,0.1,1068,1.4,1865,2.5,188,0.2,488,0.6,06,113
"Yuba County, California",26888,26888,14337,53.3,2515,9.4,7477,27.8,30,0.1,0,0.0,1663,6.2,478,1.8,226,0.8,162,0.6,06,115
