0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
NAME,DP03_0051E,DP03_0051PE,DP03_0052E,DP03_0052PE,DP03_0053E,DP03_0053PE,DP03_0054E,DP03_0054PE,DP03_0055E,DP03_0055PE,DP03_0056E,DP03_0056PE,DP03_0057E,DP03_0057PE,DP03_0058E,DP03_0058PE,DP03_0059E,DP03_0059PE,DP03_0060E,DP03_0060PE,DP03_0061E,DP03_0061PE,DP03_0062E,DP03_0062PE,DP03_0063E,DP03_0063PE,state,county
"Alameda County, California",581683,581683,23093,4.0,17324,3.0,27122,4.7,28282,4.9,38585,6.6,66471,11.4,61409,10.6,101786,17.5,73965,12.7,143646,24.7,112017,-888888888,148638,-888888888,06,001
"Alpine County, California",434,434,5,1.2,4,0.9,30,6.9,52,12.0,23,5.3,76,17.5,39,9.0,108,24.9,58,13.4,39,9.0,96000,-888888888,114903,-888888888,06,003
"Amador County, California",15394,15394,769,5.0,672,4.4,1095,7.1,1136,7.4,1936,12.6,2523,16.4,2163,14.1,2968,19.3,1042,6.8,1090,7.1,69955,-888888888,91269,-888888888,06,005
"Butte County, California",85292,85292,5122,6.0,5042,5.9,8143,9.5,8478,9.9,9975,11.7,13731,16.1,10302,12.1,12332,14.5,5806,6.8,6361,7.5,59863,-888888888,84766,-888888888,06,007
"Calaveras County, California",16809,16809,853,5.1,632,3.8,1284,7.6,1222,7.3,1981,11.8,2877,17.1,2488,14.8,2635,15.7,1467,8.7,1370,8.2,70119,-888888888,89521,-888888888,06,009
"Colusa County, California",7303,7303,451,6.2,351,4.8,869,11.9,575,7.9,1004,13.7,1115,15.3,1018,13.9,1063,14.6,363,5.0,494,6.8,61861,-888888888,80856,-888888888,06,011
"Contra Costa County, California",405106,405106,14340,3.5,10199,2.5,15668,3.9,19184,4.7,27806,6.9,49577,12.2,45903,11.3,76962,19.0,51734,12.8,93733,23.1,110455,-888888888,151026,-888888888,06,013
"Del Norte County, California",9531,9531,514,5.4,796,8.4,917,9.6,846,8.9,1386,14.5,1721,18.1,1194,12.5,1489,15.6,328,3.4,340,3.6,53280,-888888888,69915,-888888888,06,015
"El Dorado County, California",74535,74535,2910,3.9,2208,3.0,4863,6.5,4576,6.1,5962,8.0,10939,14.7,9277,12.4,14048,18.8,7637,10.2,12115,16.3,88770,-888888888,123342,-888888888,06,017
"Fresno County, California",314421,314421,20464,6.5,15104,4.8,29222,9.3,29651,9.4,38183,12.1,52917,16.8,37980,12.1,47695,15.2,22197,7.1,21008,6.7,61276,-888888888,83892,-888888888,06,019
"Glenn County, California",9753,9753,605,6.2,581,6.0,912,9.4,796,8.2,1459,15.0,1856,19.0,1172,12.0,1629,16.7,424,4.3,319,3.3,56332,-888888888,70801,-888888888,06,021
"Humboldt County, California",53729,53729,3556,6.6,3861,7.2,5220,9.7,6390,11.9,6458,12.0,8995,16.7,6376,11.9,6983,13.0,2896,5.4,2994,5.6,53350,-888888888,75434,-888888888,06,023
"Imperial County, California",45541,45541,3371,7.4,3284,7.2,6006,13.2,4098,9.0,6332,13.9,6610,14.5,5508,12.1,7030,15.4,1654,3.6,1648,3.6,49078,-888888888,66973,-888888888,06,025
"Inyo County, California",7832,7832,383,4.9,360,4.6,722,9.2,776,9.9,1048,13.4,1562,19.9,1003,12.8,1080,13.8,550,7.0,348,4.4,60925,-888888888,78816,-888888888,06,027
"Kern County, California",274705,274705,16223,5.9,15188,5.5,24831,9.0,28134,10.2,34498,12.6,46537,16.9,35379,12.9,39744,14.5,18294,6.7,15877,5.8,58824,-888888888,80195,-888888888,06,029
"Kings County, California",43286,43286,2292,5.3,1257,2.9,3614,8.3,3822,8.8,5729,13.2,8419,19.4,6554,15.1,6658,15.4,3120,7.2,1821,4.2,63267,-888888888,77920,-888888888,06,031
"Lake County, California",26307,26307,1572,6.0,1641,6.2,2640,10.0,2686,10.2,3465,13.2,4652,17.7,3066,11.7,3640,13.8,1373,5.2,1572,6.0,53399,-888888888,80886,-888888888,06,033
"Lassen County, California",8910,8910,452,5.1,326,3.7,761,8.5,895,10.0,1252,14.1,1774,19.9,1287,14.4,1447,16.2,437,4.9,279,3.1,59292,-888888888,73074,-888888888,06,035
"Los Angeles County, California",3342811,3342811,180980,5.4,142812,4.3,233372,7.0,241359,7.2,334701,10.0,513688,15.4,414844,12.4,562873,16.8,299389,9.0,418793,12.5,76367,-888888888,109499,-888888888,06,037
"Madera County, California",43578,43578,2347,5.4,1559,3.6,3406,7.8,3889,8.9,5504,12.6,8047,18.5,6307,14.5,7190,16.5,2799,6.4,2530,5.8,66709,-888888888,83780,-888888888,06,039
"Marin County, California",103751,103751,3221,3.1,2265,2.2,4332,4.2,4247,4.1,6484,6.2,10867,10.5,9752,9.4,16776,16.2,12472,12.0,33335,32.1,131008,-888888888,195569,-888888888,06,041
"Mariposa County, California",7588,7588,413,5.4,392,5.2,792,10.4,1047,13.8,963,12.7,1368,18.0,874,11.5,914,12.0,556,7.3,269,3.5,53304,-888888888,70052,-888888888,06,043
"Mendocino County, California",34183,34183,1789,5.2,2255,6.6,3292,9.6,3326,9.7,4575,13.4,6070,17.8,3645,10.7,5307,15.5,2085,6.1,1839,5.4,56378,-888888888,78750,-888888888,06,045
"Merced County, California",81618,81618,4746,5.8,4007,4.9,7246,8.9,7664,9.4,11196,13.7,15711,19.2,10665,13.1,11966,14.7,4253,5.2,4164,5.1,58861,-888888888,79592,-888888888,06,047
"Modoc County, California",3413,3413,188,5.5,91,2.7,420,12.3,544,15.9,399,11.7,747,21.9,485,14.2,380,11.1,75,2.2,84,2.5,51090,-888888888,61796,-888888888,06,049
