0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NAME,DP03_0032E,DP03_0032PE,DP03_0033E,DP03_0033PE,DP03_0034E,DP03_0034PE,DP03_0035E,DP03_0035PE,DP03_0036E,DP03_0036PE,DP03_0037E,DP03_0037PE,DP03_0038E,DP03_0038PE,DP03_0039E,DP03_0039PE,DP03_0040E,DP03_0040PE,DP03_0041E,DP03_0041PE,DP03_0042E,DP03_0042PE,DP03_0043E,DP03_0043PE,DP03_0044E,DP03_0044PE,DP03_0045E,DP03_0045PE,state,county
"Alameda County, California",874563,874563,3041,0.3,46632,5.3,86454,9.9,19652,2.2,76703,8.8,45851,5.2,31695,3.6,52854,6.0,178926,20.5,191349,21.9,69974,8.0,39506,4.5,31926,3.7,06,001
"Alpine County, California",522,522,30,5.7,12,2.3,36,6.9,0,0.0,75,14.4,46,8.8,0,0.0,5,1.0,62,11.9,142,27.2,97,18.6,1,0.2,16,3.1,06,003
"Amador County, California",15114,15114,635,4.2,1415,9.4,725,4.8,175,1.2,1602,10.6,825,5.5,271,1.8,789,5.2,1582,10.5,2684,17.8,1847,12.2,988,6.5,1576,10.4,06,005
"Butte County, California",96203,96203,3951,4.1,6166,6.4,6063,6.3,1849,1.9,12236,12.7,3911,4.1,1916,2.0,5227,5.4,9811,10.2,25724,26.7,10517,10.9,4511,4.7,4321,4.5,06,007
"Calaveras County, California",16631,16631,715,4.3,1874,11.3,1020,6.1,359,2.2,2009,12.1,954,5.7,278,1.7,895,5.4,2087,12.5,3004,18.1,1432,8.6,694,4.2,1310,7.9,06,009
"Colusa County, California",9538,9538,2040,21.4,430,4.5,1216,12.7,235,2.5,895,9.4,714,7.5,47,0.5,200,2.1,468,4.9,1374,14.4,898,9.4,389,4.1,632,6.6,06,011
"Contra Costa County, California",570386,570386,3568,0.6,42151,7.4,36841,6.5,12546,2.2,56581,9.9,33008,5.8,14288,2.5,43714,7.7,96950,17.0,130313,22.8,48259,8.5,28168,4.9,23999,4.2,06,013
"Del Norte County, California",9245,9245,616,6.7,589,6.4,271,2.9,218,2.4,1067,11.5,234,2.5,126,1.4,208,2.2,586,6.3,2598,28.1,823,8.9,455,4.9,1454,15.7,06,015
"El Dorado County, California",87325,87325,1331,1.5,7124,8.2,5770,6.6,1560,1.8,8100,9.3,3544,4.1,1447,1.7,6519,7.5,12272,14.1,17236,19.7,11576,13.3,4616,5.3,6230,7.1,06,017
"Fresno County, California",415669,415669,37394,9.0,25422,6.1,26776,6.4,13602,3.3,43984,10.6,24689,5.9,4955,1.2,17985,4.3,38852,9.3,102639,24.7,33924,8.2,19460,4.7,25987,6.3,06,019
"Glenn County, California",12172,12172,2390,19.6,794,6.5,1132,9.3,207,1.7,1516,12.5,855,7.0,33,0.3,154,1.3,658,5.4,2124,17.4,893,7.3,716,5.9,700,5.8,06,021
"Humboldt County, California",60195,60195,3334,5.5,4714,7.8,2817,4.7,1198,2.0,7306,12.1,2250,3.7,738,1.2,2465,4.1,5937,9.9,14237,23.7,7071,11.7,3842,6.4,4286,7.1,06,023
"Imperial County, California",58404,58404,5539,9.5,3522,6.0,2379,4.1,1497,2.6,7126,12.2,3733,6.4,444,0.8,2042,3.5,4266,7.3,14015,24.0,5222,8.9,2228,3.8,6391,10.9,06,025
"Inyo County, California",8356,8356,277,3.3,743,8.9,220,2.6,152,1.8,758,9.1,427,5.1,161,1.9,371,4.4,482,5.8,2083,24.9,1039,12.4,409,4.9,1234,14.8,06,027
"Kern County, California",353637,353637,50894,14.4,25476,7.2,19192,5.4,8975,2.5,36150,10.2,22902,6.5,3292,0.9,12359,3.5,28122,8.0,77526,21.9,29106,8.2,16064,4.5,23579,6.7,06,029
"Kings County, California",52477,52477,8523,16.2,1757,3.3,4014,7.6,1538,2.9,5242,10.0,2639,5.0,516,1.0,1406,2.7,3145,6.0,10633,20.3,4347,8.3,1757,3.3,6960,13.3,06,031
"Lake County, California",25509,25509,1491,5.8,2531,9.9,1318,5.2,312,1.2,3275,12.8,1193,4.7,303,1.2,941,3.7,2689,10.5,5823,22.8,2366,9.3,1317,5.2,1950,7.6,06,033
"Lassen County, California",8639,8639,464,5.4,637,7.4,179,2.1,131,1.5,848,9.8,342,4.0,131,1.5,163,1.9,388,4.5,1796,20.8,592,6.9,279,3.2,2689,31.1,06,035
