0,1,2,3
NAME,DP03_0128PE,state,county
"Alameda County, California",8.9,06,001
"Alpine County, California",12.9,06,003
"Amador County, California",7.9,06,005
"Butte County, California",17.7,06,007
"Calaveras County, California",14.1,06,009
"Colusa County, California",13.0,06,011
"Contra Costa County, California",8.2,06,013
"Del Norte County, California",17.3,06,015
"El Dorado County, California",8.7,06,017
"Fresno County, California",20.2,06,019
"Glenn County, California",15.1,06,021
"Humboldt County, California",20.3,06,023
"Imperial County, California",21.0,06,025
"Inyo County, California",10.8,06,027
"Kern County, California",19.4,06,029
"Kings County, California",16.4,06,031
"Lake County, California",16.8,06,033
"Lassen County, California",13.9,06,035
"Los Angeles County, California",13.9,06,037
"Madera County, California",19.6,06,039
"Marin County, California",6.9,06,041
"Mariposa County, California",13.2,06,043
"Mendocino County, California",15.8,06,045
"Merced County, California",19.4,06,047
"Modoc County, California",19.6,06,049
"Mono County, California",10.0,06,051
"Monterey County, California",12.2,06,053
"Napa County, California",7.7,06,055
"Nevada County, California",10.5,06,057
"Orange County, California",9.9,06,059
"Placer County, California",7.0,06,061
"Plumas County, California",11.9,06,063
"Riverside County, California",12.0,06,065
"Sacramento County, California",13.3,06,067
"San Benito County, California",7.7,06,069
"San Bernardino County, California",14.3,06,071
"San Diego County, California",10.7,06,073
"San Francisco County, California",10.3,06,075
"San Joaquin County, California",13.5,06,077
"San Luis Obispo County, California",12.0,06,079
"San Mateo County, California",6.2,06,081
"Santa Barbara County, California",13.4,06,083
"Santa Clara County, California",6.7,06,085
"Santa Cruz County, California",10.9,06,087
"Shasta County, California",14.2,06,089
"Sierra County, California",8.2,06,091
"Siskiyou County, California",16.7,06,093
"Solano County, California",8.9,06,095
"Sonoma County, California",8.7,06,097
"Stanislaus County, California",13.6,06,099
"Sutter County, California",12.6,06,101
"Tehama County, California",18.0,06,103
"Trinity County, California",22.5,06,105
"Tulare County, California",19.8,06,107
"Tuolumne County, California",9.9,06,109
"Ventura County, California",8.9,06,111
"Yolo County, California",17.2,06,113
"Yuba County, California",15.2,06,115
