0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NAME,DP05_0033E,DP05_0033PE,DP05_0036E,DP05_0036PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0044E,DP05_0044PE,DP05_0052E,DP05_0052PE,DP05_0057E,DP05_0057PE,DP05_0058E,DP05_0058PE,state,county
"Alameda County, California",1673133,1673133,1523519,91.1,600791,35.9,170632,10.2,12457,0.7,528502,31.6,13311,0.8,197826,11.8,149614,8.9,06,001
"Alpine County, California",1344,1344,1212,90.2,796,59.2,8,0.6,387,28.8,10,0.7,7,0.5,4,0.3,132,9.8,06,003
"Amador County, California",40095,40095,36529,91.1,32794,81.8,997,2.5,346,0.9,458,1.1,18,0.0,1916,4.8,3566,8.9,06,005
"Butte County, California",217884,217884,199313,91.5,169550,77.8,3999,1.8,2464,1.1,10974,5.0,624,0.3,11702,5.4,18571,8.5,06,007
"Calaveras County, California",45349,45349,41729,92.0,38373,84.6,439,1.0,548,1.2,1020,2.2,18,0.0,1331,2.9,3620,8.0,06,009
"Colusa County, California",21780,21780,18707,85.9,14975,68.8,362,1.7,292,1.3,196,0.9,31,0.1,2851,13.1,3073,14.1,06,011
"Contra Costa County, California",1161643,1161643,1037322,89.3,580523,50.0,100260,8.6,7807,0.7,206918,17.8,5611,0.5,136203,11.7,124321,10.7,06,013
"Del Norte County, California",27655,27655,24957,90.2,19184,69.4,823,3.0,1870,6.8,824,3.0,43,0.2,2213,8.0,2698,9.8,06,015
"El Dorado County, California",190568,190568,179111,94.0,161381,84.7,1639,0.9,1091,0.6,9446,5.0,304,0.2,5250,2.8,11457,6.0,06,017
"Fresno County, California",1003150,1003150,869660,86.7,544633,54.3,45282,4.5,12048,1.2,106953,10.7,1687,0.2,159057,15.9,133490,13.3,06,019
"Glenn County, California",28675,28675,27204,94.9,21496,75.0,168,0.6,690,2.4,996,3.5,36,0.1,3818,13.3,1471,5.1,06,021
"Humboldt County, California",137014,137014,123657,90.3,104538,76.3,1740,1.3,5831,4.3,4332,3.2,448,0.3,6768,4.9,13357,9.7,06,023
